REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806964702,8.1.3.4.4,17.3,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806964702,8.1.3.4.4,17.4,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806964709,8.1.3.5.4,21,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806964709,8.1.3.5.4,21.1,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806964709,8.1.3.5.4,22.1,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,Mood disorder,Percent,Percent,239,units,0,v1806964751,8.1.3.11.4,17.3,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,Mood disorder,Percent,Percent,239,units,0,v1806964751,8.1.3.11.4,13.8,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,Mood disorder,Percent,Percent,239,units,0,v1806964751,8.1.3.11.4,16.6,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,Anxiety disorder,Percent,Percent,239,units,0,v1806964758,8.1.3.12.4,14.3,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,Anxiety disorder,Percent,Percent,239,units,0,v1806964758,8.1.3.12.4,16.2,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,Anxiety disorder,Percent,Percent,239,units,0,v1806964758,8.1.3.12.4,,..,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806964779,8.1.3.15.4,20.3,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806964779,8.1.3.15.4,23.5,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806964779,8.1.3.15.4,17.6,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,Heavy drinking,Percent,Percent,239,units,0,v1806964807,8.1.3.19.4,13,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,Heavy drinking,Percent,Percent,239,units,0,v1806964807,8.1.3.19.4,18.5,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,Heavy drinking,Percent,Percent,239,units,0,v1806964807,8.1.3.19.4,19.4,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806964835,8.1.3.23.4,71.7,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806964835,8.1.3.23.4,69.7,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806964835,8.1.3.23.4,65.9,,,,1
2019/2020,Nova Scotia,2021A000212,"Total, 18 years and over",Both sexes,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806969469,10.1.1.3.4,64.5,,,,1
